51300067594,gbg,169,260
51300069965,dgg,78,238
51300147989,gae,71,144
51300166045,beg,126,271
51300178985,add,166,221
51300198266,fcc,85,147
51300223603,gac,257,203
51300266102,afc,112,55
51300286087,gfb,33,80
51300300939,adg,222,70
51300304162,ecf,109,89
51300338930,fdd,225,182
51300459567,cdd,25,176
51300460377,ceg,155,253
51300486894,dab,133,258
51300527154,ecc,292,60
51300558877,bga,47,256
51300598865,ebd,235,275
51300629729,aca,216,61
51300663100,cbd,98,134
51300691009,cgb,213,97
51300735207,ddc,87,221
51300737471,gdc,247,103
51300822996,geg,220,273
51300828270,gba,83,263
51300846120,aca,80,51
51300859475,ggg,151,41
51300865624,afb,89,202
51300889153,ddb,187,78
51300918392,dga,289,145
51300924375,egd,90,160
51300925792,ddc,149,262
51300947545,fea,47,241
51300957885,dag,24,296
51300963851,ega,220,255
51301001932,cgg,9,128
51301027555,cgf,184,148
51301064697,gfe,199,220
51301089085,bge,66,266
51301101497,gba,71,305
51301292324,ecf,147,73
51301321420,agd,160,235
51301347309,edg,186,204
51301357544,agg,109,289
51301374641,agd,78,190
51301383529,efb,135,242
51301398875,egf,222,43
51301434572,cbc,243,258
51301436804,aeb,130,17
51301451203,fgg,204,100
51301455826,fdg,248,183
51301466304,cdb,176,242
51301499126,edf,148,145
51301515574,cgf,155,150
51301534190,gcd,73,288
51301538703,ggg,90,48
51301538960,fda,243,246
51301554390,bde,90,147
51301571724,fac,159,137
51301634387,abg,168,272
51301693470,bcd,88,245
51301741455,fdd,254,161
51301763472,bde,8,163
51301784988,geg,145,259
51301820058,cgb,213,102
51301831623,afa,14,127
51301835387,bbe,55,50
51301838634,gag,148,28
51301851036,gce,93,155
51301930641,bea,226,220
51301963512,ede,211,279
51302018027,cae,197,79
51302034792,gce,43,133
51302041671,dcc,54,236
51302053890,aed,55,97
51302060352,ggc,199,206
51302089296,dff,172,257
51302093906,gee,112,69
51302115084,eaf,88,133
51302134131,gce,98,158
51302141897,cfc,224,281
51302174601,cge,92,226
51302189570,efb,183,220
51302212045,bff,253,276
51302214214,aed,176,110
51302224294,efg,130,127
51302224717,ecd,155,118
51302253798,dbb,13,73
51302261853,ada,51,180
51302271546,cgc,247,257
51302311835,fag,188,155
51302329791,deb,210,203
51302353397,caf,113,286
51302362620,eba,9,287
51302385299,fad,288,118
51302481360,bgc,284,163
51302484751,aeg,143,208
51302486838,bbe,193,59
51302508755,eae,18,240
51302558135,eec,158,263
51302566747,gdf,227,254
51302641091,age,278,90
51302643144,bef,175,58
51302671649,dbg,88,115
51302675685,eeb,30,165
51302679190,gaf,113,17
51302688641,bgd,29,261
51302717619,feb,10,26
51302800233,bce,57,267
51302854611,fge,66,100
51302862192,ebb,19,182
51302891326,fec,65,127
51302909525,egb,66,205
51302931454,agg,265,257
51302941932,cgf,277,168
51302959345,bfg,66,131
51302969838,fga,165,107
51302999181,cff,34,87
51303017581,bde,298,189
51303038908,gab,209,107
51303040867,fcf,121,40
51303044731,afc,272,49
51303065201,eca,263,80
51303074660,bfa,117,155
51303092066,ddd,183,249
51303093129,cee,258,75
51303136183,ffe,5,22
51303150970,fac,85,163
51303151314,baa,148,191
51303157660,bfa,209,130
51303165469,daf,229,96
51303166897,bcd,61,218
51303191346,bag,25,203
51303244946,bbc,160,195
51303247980,bcc,102,39
51303255552,acb,116,173
51303308490,fef,82,288
51303311587,gaf,258,14
51303316730,fag,109,125
51303321351,gad,210,46
51303325157,edg,243,197
51303345991,fcb,258,89
51303376662,fgf,159,213
51303397439,fec,80,146
